sample_size,feature_number,mean_auc_train,mean_auc_test,mean_prauc_train,mean_prauc_test
15000,3,0.7259001632653062,0.7260245135802469,0.6758434428028413,0.6709997585907201
15000,5,0.7492501369614513,0.7474591901234569,0.715933760898041,0.7125623601441636
15000,10,0.7628515247165534,0.7596651950617285,0.7304497255632018,0.7282278969537233
15000,20,0.7654277804988662,0.7615145777777779,0.735152546924219,0.7326396515885859
15000,30,0.7677175292517007,0.7625058666666666,0.7378963390596589,0.733509873107522
15000,40,0.7677773369614512,0.7622774518518518,0.7383537274691762,0.7340348267346665
15000,46,0.7671110512471656,0.7616299160493827,0.7380004559224375,0.7333073616350351
20000,3,0.7241564173469388,0.7237708666666667,0.6730090228888291,0.6707723241445633
20000,5,0.7458073193877551,0.7443095722222222,0.7113640605105729,0.7098767334500785
20000,10,0.7590753673469388,0.755534588888889,0.725430108469016,0.7237769320947771
20000,20,0.7624576622448979,0.7581420611111112,0.7313923178171128,0.7278728843968534
20000,30,0.7639186795918368,0.7587747777777778,0.7337938912966262,0.7295791810399086
20000,40,0.7640714418367346,0.7584548555555555,0.7345226397041222,0.7294507547944973
20000,46,0.7635280285714285,0.7583328055555556,0.7341644694666325,0.729357770880836
25000,3,0.7235745933061224,0.7255697955555556,0.6725217117578232,0.6720895566656327
25000,5,0.7452736339591837,0.746268992,0.7105331916865444,0.7120318064451834
25000,10,0.7574614628571428,0.7564658204444445,0.7246177406865956,0.7240326703617389
25000,20,0.7608656620408164,0.7588905315555555,0.7300724311403778,0.7290135305602858
25000,30,0.7627808894693877,0.7605522773333334,0.7325892903041998,0.7302990054095464
25000,40,0.7623760019591838,0.759910624,0.7328499832214981,0.7306417875404407
25000,46,0.7622016568163266,0.7591132195555554,0.732913764097192,0.7295367636710176
